x,y,psi,v_ref,s
3.000000,0.000000,1.570796,2.500000,0.000000
2.994080,0.113023,1.675272,2.519941,0.113178
2.976344,0.225600,1.778314,2.577436,0.227143
2.946862,0.337286,1.878624,2.666115,0.342656
2.905749,0.447642,1.975144,2.777126,0.460420
2.853170,0.556231,2.067116,2.900998,0.581069
2.789329,0.662624,2.154086,3.029185,0.705147
2.714481,0.766403,2.235874,3.154962,0.833101
2.628920,0.867157,2.312521,3.273679,0.965283
2.532984,0.964488,2.384228,3.382572,1.101947
2.427051,1.058013,2.451299,3.480363,1.243258
2.311540,1.147363,2.514104,3.566815,1.389293
2.186906,1.232185,2.573035,3.642353,1.540052
2.053641,1.312144,2.628491,3.707768,1.695464
1.912272,1.386924,2.680859,3.764011,1.855393
1.763356,1.456231,2.730505,3.812066,2.019647
1.607480,1.519790,2.777772,3.852870,2.187983
1.445261,1.577352,2.822978,3.887273,2.360113
1.277338,1.628689,2.866417,3.916023,2.535708
1.104374,1.673598,2.908359,3.939754,2.714407
0.927051,1.711902,2.949056,3.959000,2.895820
0.746070,1.743450,2.988740,3.974191,3.079530
0.562144,1.768117,3.027632,3.985668,3.265102
0.376000,1.785806,3.065940,3.993689,3.452085
0.188372,1.796448,3.103862,3.998431,3.640015
-0.000000,1.800000,-3.141593,4.000000,3.828420
-0.188372,1.796448,-3.103862,3.998431,4.016825
-0.376000,1.785806,-3.065940,3.993689,4.204755
-0.562144,1.768117,-3.027632,3.985668,4.391738
-0.746070,1.743450,-2.988740,3.974191,4.577310
-0.927051,1.711902,-2.949056,3.959000,4.761020
-1.104374,1.673598,-2.908359,3.939754,4.942433
-1.277338,1.628689,-2.866417,3.916023,5.121132
-1.445261,1.577352,-2.822978,3.887273,5.296727
-1.607480,1.519790,-2.777772,3.852870,5.468857
-1.763356,1.456231,-2.730505,3.812066,5.637193
-1.912272,1.386924,-2.680859,3.764011,5.801447
-2.053641,1.312144,-2.628491,3.707768,5.961376
-2.186906,1.232185,-2.573035,3.642353,6.116788
-2.311540,1.147363,-2.514104,3.566815,6.267547
-2.427051,1.058013,-2.451299,3.480363,6.413582
-2.532984,0.964488,-2.384228,3.382572,6.554893
-2.628920,0.867157,-2.312521,3.273679,6.691557
-2.714481,0.766403,-2.235874,3.154962,6.823739
-2.789329,0.662624,-2.154086,3.029185,6.951693
-2.853170,0.556231,-2.067116,2.900998,7.075771
-2.905749,0.447642,-1.975144,2.777126,7.196420
-2.946862,0.337286,-1.878624,2.666115,7.314184
-2.976344,0.225600,-1.778314,2.577436,7.429697
-2.994080,0.113023,-1.675272,2.519941,7.543662
-3.000000,-0.000000,-1.570796,2.500000,7.656840
-2.994080,-0.113023,-1.466320,2.519941,7.770018
-2.976344,-0.225600,-1.363278,2.577436,7.883983
-2.946862,-0.337286,-1.262969,2.666115,7.999496
-2.905749,-0.447642,-1.166449,2.777126,8.117260
-2.853170,-0.556231,-1.074477,2.900998,8.237909
-2.789329,-0.662624,-0.987507,3.029185,8.361987
-2.714481,-0.766403,-0.905718,3.154962,8.489941
-2.628920,-0.867157,-0.829071,3.273679,8.622123
-2.532984,-0.964488,-0.757365,3.382572,8.758787
-2.427051,-1.058013,-0.690293,3.480363,8.900098
-2.311540,-1.147363,-0.627489,3.566815,9.046133
-2.186906,-1.232185,-0.568557,3.642353,9.196892
-2.053641,-1.312144,-0.513101,3.707768,9.352304
-1.912272,-1.386924,-0.460734,3.764011,9.512233
-1.763356,-1.456231,-0.411088,3.812066,9.676487
-1.607480,-1.519790,-0.363821,3.852870,9.844823
-1.445261,-1.577352,-0.318615,3.887273,10.016953
-1.277338,-1.628689,-0.275176,3.916023,10.192548
-1.104374,-1.673598,-0.233234,3.939754,10.371247
-0.927051,-1.711902,-0.192537,3.959000,10.552660
-0.746070,-1.743450,-0.152852,3.974191,10.736370
-0.562144,-1.768117,-0.113960,3.985668,10.921942
-0.376000,-1.785806,-0.075653,3.993689,11.108925
-0.188372,-1.796448,-0.037731,3.998431,11.296855
-0.000000,-1.800000,-0.000000,4.000000,11.485260
0.188372,-1.796448,0.037731,3.998431,11.673665
0.376000,-1.785806,0.075653,3.993689,11.861595
0.562144,-1.768117,0.113960,3.985668,12.048578
0.746070,-1.743450,0.152852,3.974191,12.234150
0.927051,-1.711902,0.192537,3.959000,12.417861
1.104374,-1.673598,0.233234,3.939754,12.599273
1.277338,-1.628689,0.275176,3.916023,12.777972
1.445261,-1.577352,0.318615,3.887273,12.953567
1.607480,-1.519790,0.363821,3.852870,13.125697
1.763356,-1.456231,0.411088,3.812066,13.294033
1.912272,-1.386924,0.460734,3.764011,13.458287
2.053641,-1.312144,0.513101,3.707768,13.618216
2.186906,-1.232185,0.568557,3.642353,13.773628
2.311540,-1.147363,0.627489,3.566815,13.924387
2.427051,-1.058013,0.690293,3.480363,14.070422
2.532984,-0.964488,0.757365,3.382572,14.211733
2.628920,-0.867157,0.829071,3.273679,14.348397
2.714481,-0.766403,0.905718,3.154962,14.480579
2.789329,-0.662624,0.987507,3.029185,14.608533
2.853170,-0.556231,1.074477,2.900998,14.732611
2.905749,-0.447642,1.166449,2.777126,14.853260
2.946862,-0.337286,1.262969,2.666115,14.971024
2.976344,-0.225600,1.363278,2.577436,15.086537
2.994080,-0.113023,1.466320,2.519941,15.200502
